Team Home,Team Name,Team A Scores,Team B Scores,Team A Total,Team B Total
Roosevelt,Rough Riders 1,"[1, 7, 2, 1, 1, 9, 1, 3]","[1, 1, 1, 6, 13, 1, 13, 4]",25,40
Raisbeck Aviation,Raisbeck Aviation,"[2, 3, 4, 5, 5, 3, 5, 10]","[2, 4, 5, 4, 7, 2, 8, 13]",37,45
Bainbridge,Spartans 1,"[6, 1, 10, 4, 2, 1, 13, 13]","[3, 8, 14, 12, 5, 9, 11, 8]",50,70
Bainbridge,Spartans 2,"[11, 6, 9, 14, 9, 8, 4, 11]","[8, 3, 4, 8, 22, 11, 14, 3]",72,73
The Downtown,Sockeye Salmon 3,"[15, 5, 8, 3, 3, 2, 2, 8]","[12, 11, 15, 10, 17, 12, 7, 18]",46,102
Gig Harbor,Tides 1,"[8, 14, 6, 8, 6, 13, 8, 4]","[25, 2, 9, 3, 14, 14, 18, 6]",67,91
Olympia,Bears 1,"[9, 2, 11, 15, 10, 10, 6, 17]","[24, 16, 6, 5, 10, 7, 2, 12]",80,82
Unregistered-NESSA,Southern Maine 1,"[3, 11, 14, 9, 12, 6, 14, 5]","[17, 15, 3, 14, 11, 8, 17, 7]",74,92
Olympia,Bears 3,"[20, 25, 18, 7, 8, 19, 18, 20]","[5, 5, 10, 7, 3, 4, 1, 5]",135,40
Roosevelt,Rough Riders 2,"[18, 21, 1, 2, 21, 18, 12, 1]","[6, 26, 13, 1, 12, 15, 10, 15]",94,98
Bainbridge,Spartans 5,"[7, 4, 3, 16, 11, 4, 17, 9]","[21, 10, 11, 20, 6, 13, 16, 24]",71,121
Lake Ridge,Lake Ridge,"[5, 10, 23, 11, 16, 11, 3, 16]","[14, 25, 21, 19, 8, 3, 9, 2]",95,101
Bellarmine,Lions 1,"[4, 8, 5, 10, 7, 5, 7, 15]","[11, 12, 'RDG', 15, 21, 21, 24, 17]",61,138
Unregistered-NESSA,Southern Maine 5,"[10, 16, 12, 17, 20, 12, 11, 12]","[19, 23, 23, 16, 1, 6, 5, 1]",110,94
Bainbridge,Spartans 3,"[17, 19, 7, 12, 15, 15, 15, 19]","[4, 6, 7, 11, 16, 22, 12, 16]",119,94
Unregistered-NESSA,Southern Maine 2,"[21, 15, 15, 21, 18, 16, 9, 6]","[7, 20, 24, 18, 2, 16, 3, 10]",121,100
Capital,Cougars,"[19, 9, 19, 22, 14, 20, 24, 24]","[9, 9, 12, 2, 23, 18, 4, 9]",151,86
The Downtown,Sockeye Salmon 2,"[22, 23, 20, 6, 23, 14, 21, 23]","[16, 7, 17, 21, 4, 5, 6, 23]",152,99
Olympia,Bears 2,"[23, 18, 13, 19, 4, 7, 19, 18]","[22, 27, 8, 17, 9, 19, 22, 11]",121,135
Gig Harbor,Tides 2,"[12, 13, 16, 23, 17, 22, 10, 2]","[15, 14, 22, 27, 20, 17, 20, 22]",115,157
Bainbridge,Spartans 4,"[14, 17, 25, 20, 13, 24, 22, 14]","[13, 17, 'DNF', 25, 24, 10, 21, 14]",149,152
Bellarmine,Lions 2,"[16, 12, 24, 26, 22, 21, 25, 26]","[27, 18, 16, 13, 18, 23, 19, 19]",172,153
Unregistered-NESSA,Southern Maine 6,"[24, 24, 22, 25, 24, 23, 20, 7]","[20, 21, 20, 23, 15, 25, 15, 25]",169,164
Port Angeles,Roughriders,"[13, 22, 17, 13, 19, 'DNS', 16, 21]","[26, 24, 25, 22, 26, 24, 25, 21]",149,193
The Downtown,Sockeye Salmon 1,"[27, 27, 21, 24, 27, 25, 'DNS', 'DNS']","[10, 13, 2, 9, 'DNS', 'DNS', 'DNS', 'DNS']",207,146
Unregistered-NESSA,Southern Maine 3,"[25, 20, 27, 18, 26, 26, 23, 25]","[18, 19, 19, 26, 19, 26, 23, 20]",190,170
Race Count: ,8
Team Count: ,27
